what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1422755023578
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422755027706
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1422755030174
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1422755030906
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1422755032711
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422755033354
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422755037697
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422755054678
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422755127449
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422755141193
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422755151323
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422755153959
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422755167442
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422755193249
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422755196510
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422755207698
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422755212887
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422755256723
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422755257670
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422755268820
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422755269612
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422755272217
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422755298623
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422755345606
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422755353855
