what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1424495995642
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424495997611
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496002457
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496004913
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424496008470
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496014337
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496015679
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496016609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496025088
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496025640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496038384
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1424496040183
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496045633
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496221044
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1424496223069
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1424496225963
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.textStart",1424496226590
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1424496229142
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1424496231607
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424496232758
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424496234599
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424497078405
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1424497085652
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424497086561
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424497097295
