what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1424486267260
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424486268310
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1424486271566
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1424486271785
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1424486271824
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1424486271957
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1424486272145
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1424486273123
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1424486273863
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486329404
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486542272
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1424486544882
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1424486545853
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486548241
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486552703
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424486557190
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424486559941
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424486567233
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424486581169
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486606428
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486613750
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424486618240
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424486624542
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486637944
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486652509
