what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424485950616
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424485952279
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1424485962205
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1424485965119
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1424485978406
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1424485978480
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1424485978538
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1424485978539
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1424485984192
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1424485984270
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1424485988375
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1424485995765
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1424486002619
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1424486002619
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486003631
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486011291
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1424486011970
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486013021
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486035303
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486036762
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486194746
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486197845
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1424486234713
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1424486244088
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1424486261033
