what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1422729480467
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422729482356
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422729486311
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422729487450
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422729488287
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422729529768
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422729535438
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422729540146
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422729551250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422729560967
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422729655036
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422729655753
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422729787869
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422730055974
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422730245881
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422730388447
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422730401977
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422730419143
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1422730427547
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1422730427884
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1422730428282
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422730434918
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422730449181
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422730450125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422730450850
