what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422766252759
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422766272878
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422766282558
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766293641
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766297841
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1422766372500
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422766377508
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1422766380889
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766395880
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766407191
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766445193
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766459687
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422766464542
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422766495739
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766526711
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766531967
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422766534831
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1422766537906
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1422766543242
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422766544942
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1422766547522
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1422766547712
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1422766547931
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422766550400
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422766555435
