what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844285349
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1422844297495
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422844300853
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844301401
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844308569
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1422844316825
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422844317607
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844323033
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844627713
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1422844637032
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422844638109
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1422844647733
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1422844648708
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1422844652035
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1422844654200
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422844655021
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844663186
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844674030
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1422844677592
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422844680102
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844680728
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1422844684620
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1422844686273
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1422844687300
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1422844688546
